#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.54403    -7.54403           0
           2     -7.5422    -7.54311 0.000646932
           3    -7.53909    -7.54177  0.00117721
           4    -7.53922    -7.54113   0.0010417
           5    -7.54375    -7.54166 0.000955807
           6    -7.57062    -7.54648  0.00447756
           7    -7.55325    -7.54745  0.00394093
           8     -7.5411    -7.54666   0.0035273
           9    -7.53473    -7.54533  0.00337516
          10    -7.54641    -7.54544  0.00303935
          11    -7.53221    -7.54424  0.00299155
          12    -7.53461    -7.54343  0.00284782
          13    -7.53528    -7.54281  0.00269694
          14    -7.54914    -7.54326  0.00254197
          15    -7.54628    -7.54346  0.00238046
          16    -7.54887     -7.5438  0.00225555
          17    -7.56746    -7.54519  0.00251575
          18     -7.5272    -7.54419  0.00256688
          19    -7.53963    -7.54395  0.00244297
          20    -7.55187    -7.54435  0.00235271
          21    -7.55074    -7.54465  0.00226027
          22    -7.55084    -7.54493  0.00217493
          23    -7.54069    -7.54475  0.00208817
          24    -7.54375    -7.54471  0.00200158
          25    -7.54686    -7.54479  0.00192337
          26    -7.53075    -7.54425  0.00192375
          27    -7.55016    -7.54447  0.00186488
          28    -7.54527     -7.5445   0.0017985
          29    -7.54216    -7.54442  0.00173829
          30    -7.53577    -7.54413  0.00170409
          31    -7.54829    -7.54427  0.00165438
          32    -7.56071    -7.54478  0.00168058
          33    -7.54335    -7.54474  0.00163021
          34    -7.54481    -7.54474  0.00158226
          35    -7.53353    -7.54442  0.00156912
          36    -7.54509    -7.54444  0.00152564
          37    -7.54417    -7.54443  0.00148442
          38    -7.54104    -7.54434  0.00144803
          39    -7.55032    -7.54449  0.00141899
          40    -7.55945    -7.54487  0.00143195
          41    -7.55183    -7.54504  0.00140705
          42    -7.52974    -7.54467  0.00141989
          43    -7.53943    -7.54455   0.0013921
          44    -7.54504    -7.54456  0.00136051
          45    -7.55018    -7.54469  0.00133599
          46    -7.55205    -7.54485  0.00131651
          47    -7.53684    -7.54468  0.00129947
          48    -7.55408    -7.54487  0.00128708
          49    -7.53473    -7.54467  0.00127736
          50       -7.54    -7.54457  0.00125522
          51    -7.55272    -7.54473  0.00124072
          52    -7.55817    -7.54499   0.0012435
          53    -7.54732    -7.54503  0.00122081
          54    -7.54798    -7.54509  0.00119942
          55    -7.55039    -7.54519  0.00118148
          56    -7.55186     -7.5453  0.00116639
          57    -7.54261    -7.54526  0.00114688
          58    -7.53798    -7.54513  0.00113395
          59    -7.55402    -7.54528  0.00112469
          60    -7.54753    -7.54532  0.00110657
          61    -7.53985    -7.54523  0.00109205
          62     -7.5348    -7.54506   0.0010873
          63    -7.54491    -7.54506  0.00107005
          64    -7.57036    -7.54546  0.00112396
          65    -7.52984    -7.54521  0.00113205
          66    -7.53344    -7.54504  0.00112888
          67    -7.54153    -7.54498  0.00111325
          68    -7.54101    -7.54493  0.00109841
          69    -7.55007      -7.545  0.00108502
          70    -7.54801    -7.54504  0.00107037
          71    -7.55781    -7.54522  0.00107028
          72    -7.53535    -7.54509  0.00106417
          73    -7.55133    -7.54517  0.00105303
          74    -7.55795    -7.54534  0.00105286
          75    -7.55885    -7.54552  0.00105412
          76    -7.54997    -7.54558  0.00104187
          77    -7.56128    -7.54579   0.0010481
          78    -7.54743    -7.54581  0.00103488
          79    -7.55616    -7.54594  0.00103004
          80    -7.54172    -7.54589  0.00101852
          81    -7.54961    -7.54593  0.00100698
          82    -7.53802    -7.54584 0.000999308
          83    -7.54983    -7.54588 0.000988426
          84    -7.55429    -7.54598 0.000981708
          85    -7.55286    -7.54606 0.000973486
          86    -7.55454    -7.54616 0.000967145
          87    -7.55723    -7.54629 0.000964356
          88    -7.54095    -7.54623 0.000955307
          89    -7.55272     -7.5463 0.000947353
          90     -7.5274    -7.54609 0.000959823
          91    -7.55987    -7.54624  0.00096115
          92    -7.54295    -7.54621  0.00095137
          93    -7.53957    -7.54614 0.000943817
          94    -7.54739    -7.54615  0.00093387
          95    -7.55097     -7.5462 0.000925419
          96     -7.5339    -7.54607 0.000924602
          97    -7.55176    -7.54613 0.000916927
          98    -7.53353      -7.546 0.000916543
          99      -7.549    -7.54603 0.000907785
         100    -7.54504    -7.54602 0.000898762
