#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     3.44688     3.44688           0
           2      3.4143     3.43059   0.0115181
           3     3.58194     3.48104   0.0418997
           4     3.29891     3.43551   0.0504219
           5     3.51693     3.45179   0.0428864
           6     3.39729     3.44271    0.036688
           7     3.54554      3.4574   0.0342617
           8     3.37033     3.44652   0.0316605
           9     3.44312     3.44614   0.0281449
          10     3.41976      3.4435   0.0254537
          11     3.26695     3.42745   0.0277424
          12     3.29132     3.41611    0.027653
          13     3.30374     3.40746   0.0268428
          14     3.44224     3.40995   0.0250401
          15     3.45803     3.41315   0.0235751
          16     3.43137     3.41429   0.0221291
          17      3.5151     3.42022   0.0216074
          18     3.44249     3.42146   0.0204423
          19     3.46383     3.42369   0.0194877
          20     3.36177     3.42059   0.0187576
          21     3.54077     3.42632   0.0187171
          22     3.44279     3.42706   0.0178813
          23     3.46528     3.42873   0.0171808
          24     3.48979     3.43127   0.0166523
          25     3.46736     3.43271   0.0160486
          26     3.48293     3.43464   0.0155472
          27     3.47505     3.43614   0.0150432
          28     3.32101     3.43203   0.0150575
          29     3.40767     3.43119   0.0145617
          30     3.42345     3.43093   0.0140785
          31     3.39723     3.42984   0.0136663
          32     3.40296       3.429    0.013265
          33     3.36866     3.42718   0.0129885
          34     3.22693     3.42129   0.0138777
          35     3.48908     3.42322   0.0136157
          36     3.54427     3.42659   0.0136463
          37     3.47745     3.42796   0.0133465
          38      3.4222     3.42781   0.0129962
          39     3.40494     3.42722   0.0126762
          40     3.36423     3.42565   0.0124567
          41      3.4215     3.42555   0.0121533
          42     3.36124     3.42402     0.01196
          43     3.44059      3.4244   0.0116881
          44     3.34649     3.42263   0.0115558
          45     3.48587     3.42403   0.0113841
          46     3.41026     3.42374   0.0111406
          47     3.44675     3.42423   0.0109143
          48     3.40776     3.42388   0.0106923
          49     3.44799     3.42437   0.0104854
          50     3.37735     3.42343   0.0103178
          51      3.4523       3.424    0.010131
          52     3.54321     3.42629   0.0101923
          53     3.45092     3.42676   0.0100105
          54     3.33769     3.42511  0.00996013
          55     3.41817     3.42498  0.00977983
          56     3.43113     3.42509  0.00960581
          57     3.40035     3.42466  0.00944709
          58     3.48146     3.42564  0.00933484
          59     3.55396     3.42781  0.00942661
          60     3.38488      3.4271  0.00929662
          61     3.47023      3.4278  0.00917107
          62     3.33644     3.42633  0.00914076
          63     3.25316     3.42358  0.00939985
          64     3.42185     3.42355  0.00925302
          65     3.51758       3.425  0.00922304
          66     3.35306     3.42391  0.00914749
          67     3.33687     3.42261  0.00910273
          68     3.51393     3.42395  0.00906738
          69     3.48072     3.42478  0.00897321
          70     3.49393     3.42576  0.00889924
          71     3.47084      3.4264  0.00879651
          72     3.37346     3.42566  0.00870501
          73     3.44109     3.42588  0.00858833
          74      3.4195     3.42579   0.0084727
          75     3.50757     3.42688  0.00842961
          76     3.37626     3.42621  0.00834497
          77     3.42013     3.42613  0.00823697
          78     3.35997     3.42529  0.00817493
          79     3.33639     3.42416  0.00814853
          80     3.35115     3.42325  0.00809762
          81     3.37732     3.42268  0.00801747
          82     3.39396     3.42233  0.00792735
          83     3.52604     3.42358  0.00792969
          84     3.49322     3.42441  0.00787851
          85      3.4491      3.4247  0.00779117
          86     3.45192     3.42502  0.00770701
          87     3.41722     3.42493  0.00761894
          88     3.43039     3.42499  0.00753261
          89     3.36952     3.42437  0.00747372
          90     3.42072     3.42433  0.00739079
          91     3.41442     3.42422  0.00731037
          92     3.35346     3.42345  0.00727126
          93     3.44206     3.42365  0.00719582
          94     3.49158     3.42437  0.00715547
          95     3.31179     3.42319   0.0071776
          96      3.4325     3.42328  0.00710349
          97     3.42809     3.42333  0.00703043
          98     3.53249     3.42445  0.00704638
          99     3.51464     3.42536  0.00703386
         100     3.37915     3.42489  0.00697868
