# BLOCK    CURRENT_AVE          ERROR     ACCEPTANCE
      1        2.42751        1.93098           0.22
      2        2.46981        1.11565       0.216667
      3        2.48066        0.78896         0.2375
      4         2.6766       0.641769          0.218
      5        2.66851       0.524065       0.213333
      6        2.63848       0.443932       0.218571
      7        2.59894       0.386485        0.21875
      8         2.6164       0.341294       0.222222
      9        2.49377       0.328973          0.223
     10        2.48423       0.297721       0.225455
     11        2.42239       0.278727       0.225833
     12        2.56106       0.291493           0.22
     13        2.51904       0.273123       0.217143
     14        2.61545        0.27193          0.218
     15        2.49833       0.280035         0.2225
     16        2.49302       0.263101       0.221176
     17        2.48394        0.24822       0.222778
     18         2.5095        0.23618       0.222105
     19        2.55664       0.228965          0.225
     20        2.58079       0.219124       0.226667
     21        2.64987       0.220053       0.222273
     22          2.658       0.210424       0.225652
     23        2.73282        0.21491       0.225417
     24        2.75238       0.207061         0.2244
     25         2.7903        0.20252       0.223846
     26        2.76775       0.196175       0.222593
     27        2.82956        0.19889       0.218929
     28        2.77165       0.200456        0.21931
     29        2.81402       0.198238       0.218333
     30          2.744       0.204121       0.218065
     31         2.7724        0.19967       0.218438
     32         2.7905       0.194369           0.22
     33        2.81574       0.190248       0.219412
     34        2.87435       0.193805       0.218571
     35        2.83043       0.193396           0.22
     36        2.81071       0.189127       0.220811
     37         2.8027       0.184257       0.220263
     38        2.77766        0.18121       0.220513
     39        2.79746       0.177729        0.22025
     40        2.77512       0.174774       0.220732
     41        2.74137        0.17387       0.222381
     42        2.73579        0.16987       0.223721
     43        2.70623       0.168578       0.226136
     44        2.73969       0.168153       0.226444
     45        2.69135       0.171415       0.228696
     46        2.65368       0.171907       0.228936
     47        2.66399       0.168602       0.228542
     48        2.66133       0.165147       0.229592
     49        2.62864        0.16508         0.2292
     50        2.60955       0.162933       0.228235
     51        2.63659       0.162042       0.227692
     52        2.65496       0.160013       0.227925
     53        2.65523       0.157022       0.228704
     54        2.65069       0.154208       0.228727
     55        2.66873       0.152499         0.2275
     56        2.70365       0.153816       0.227193
     57        2.71128       0.151334       0.228448
     58        2.70063       0.149128       0.228644
     59        2.68694       0.147259       0.228333
     60        2.69217       0.144919       0.227705
     61        2.69557       0.142603       0.227419
     62        2.69238       0.140357       0.228095
     63        2.68621       0.138284       0.228125
     64        2.68918       0.136173       0.228308
     65        2.68579       0.134136       0.228182
     66        2.66762       0.133362       0.229254
     67        2.66986       0.131405       0.229412
     68         2.6875       0.130683       0.228406
     69        2.65775       0.132193       0.228857
     70        2.65924       0.130326       0.229859
     71        2.66826        0.12882       0.229444
     72         2.6704       0.127061       0.229315
     73        2.68249       0.125914       0.228784
     74        2.69387       0.124744         0.2296
     75        2.67837       0.124063       0.229605
     76        2.67505       0.122486        0.23013
     77        2.64987       0.123499       0.230256
     78        2.65539        0.12205       0.230633
     79        2.67087       0.121504       0.231125
     80        2.59974       0.139489       0.231111
     81        2.58915       0.138184       0.230854
     82        2.57584       0.137157       0.231446
     83        2.58334       0.135721       0.232143
     84        2.60294        0.13554          0.232
     85         2.6044       0.133963       0.231977
     86        2.61539       0.132869       0.232299
     87        2.61131       0.131413       0.232159
     88        2.59775       0.130635       0.231348
     89        2.62314       0.131648       0.230667
     90        2.62411       0.130197        0.23033
     91         2.6399       0.129738       0.228804
     92         2.6485       0.128623       0.229032
     93        2.64348       0.127347        0.22883
     94        2.65975       0.127046          0.228
     95        2.66692        0.12592       0.227917
     96          2.646       0.126359       0.228866
     97        2.64627       0.125063       0.228878
     98        2.65341       0.123999       0.228586
     99         2.6478       0.122881          0.229
    100        2.63057       0.122872       0.228911
    101        2.60721       0.123885       0.229608
    102        2.60453       0.122705       0.230194
    103        2.62637       0.123466       0.230192
    104        2.62955       0.122326        0.22981
    105        2.61973       0.121564       0.230377
    106        2.62652       0.120614       0.230187
    107        2.63235       0.119634       0.229259
    108        2.62947       0.118567       0.229174
    109        2.63454       0.117593       0.229364
    110        2.62881        0.11667        0.22955
    111        2.62092       0.115892       0.229464
    112        2.61402       0.115069       0.229381
    113        2.61778       0.114117       0.229386
    114        2.61211       0.113262           0.23
    115        2.62229       0.112742       0.229655
    116        2.61518          0.112       0.229658
    117         2.6169        0.11106       0.229407
    118          2.613       0.110191       0.229076
    119        2.61281       0.109269       0.229167
    120        2.61442       0.108375       0.229174
    121        2.62933       0.108511       0.229098
    122        2.60481       0.110382       0.229919
    123        2.60707       0.109511       0.230081
    124        2.60328       0.108698        0.23016
    125        2.59949       0.107898       0.230476
    126        2.59873       0.107048       0.230709
    127        2.61186       0.107017       0.229922
    128        2.61795       0.106358       0.229922
    129        2.63258       0.106547       0.229692
    130        2.64265       0.106209       0.229771
    131         2.6172       0.108429       0.230076
    132        2.61748       0.107611        0.23015
    133        2.63197       0.107783       0.230448
    134        2.64359       0.107612       0.230148
    135        2.64757       0.106892       0.230294
    136         2.6429       0.106211       0.230584
    137        2.64688       0.105514        0.23058
    138        2.63137       0.105895       0.230719
    139        2.63732       0.105304       0.230857
    140        2.64128       0.104629       0.230993
    141        2.62809       0.104724       0.231127
    142        2.63742       0.104406       0.231329
    143        2.64576       0.104013       0.231319
    144        2.64031       0.103437       0.231655
    145        2.64237       0.102746       0.231575
    146        2.65541       0.102874       0.231293
    147        2.66937       0.103126       0.230676
    148        2.67081       0.102442       0.230872
    149        2.68322       0.102511       0.230867
    150        2.67141       0.102513        0.23053
    151        2.68539       0.102791       0.229868
    152        2.67949       0.102287       0.230458
    153        2.67851       0.101626       0.231169
    154        2.68378       0.101106       0.231355
    155         2.6922       0.100808       0.231474
    156        2.70007       0.100472       0.231019
    157        2.70325      0.0998847        0.23057
    158        2.69381      0.0997032        0.23044
    159         2.6946      0.0990813       0.230812
    160        2.67472       0.100452       0.231118
    161        2.68351       0.100216       0.230679
    162        2.68428      0.0996025       0.230675
    163        2.68285      0.0990037       0.230915
    164        2.68775      0.0985239       0.230667
    165        2.69764       0.098427       0.230482
    166        2.69885      0.0978433       0.230479
    167        2.70774      0.0976649       0.230238
    168        2.69223      0.0983176       0.230769
    169        2.69032      0.0977562       0.230647
    170        2.69896      0.0975669       0.231053
    171        2.69447      0.0971023       0.230988
    172        2.68997      0.0966442       0.231214
    173        2.67842      0.0967785       0.231437
    174        2.67618        0.09625       0.231257
    175        2.67348      0.0957397       0.231477
    176        2.66447      0.0956224       0.232034
    177        2.66616      0.0950987        0.23191
    178        2.66399      0.0945908       0.232011
    179        2.65228      0.0947898       0.232056
    180        2.64113      0.0949219        0.23232
    181        2.64329      0.0944236       0.232802
    182        2.62554      0.0955694       0.232842
    183         2.6209      0.0951618       0.233261
    184        2.62644      0.0948079       0.232595
    185        2.63126      0.0944199       0.232473
    186        2.62923      0.0939356       0.232567
    187        2.63913      0.0939577       0.232234
    188        2.62353      0.0947512       0.232275
    189         2.6203      0.0943068       0.232632
    190         2.6179      0.0938423       0.232984
    191        2.61386      0.0934397       0.232969
    192        2.61684      0.0930021       0.233316
    193        2.60944      0.0928167       0.233711
    194        2.60864      0.0923429       0.233641
    195        2.59148      0.0934604        0.23352
    196        2.57932      0.0937766       0.233452
    197        2.57448      0.0934269       0.233232
    198         2.5819      0.0932514       0.232965
    199        2.57391      0.0931274        0.23335
    200        2.57503      0.0926697       0.233632
    201        2.58554       0.092807       0.233416
    202        2.57733      0.0927126       0.233498
    203        2.58408      0.0925029       0.233284
    204         2.5847      0.0920527       0.233463
    205         2.5903      0.0917755       0.233592
    206        2.59333      0.0913816        0.23343
    207        2.59157      0.0909584       0.233798
    208        2.59945      0.0908644       0.233301
    209        2.59698      0.0904642       0.233524
    210        2.59042      0.0902732       0.233507
    211        2.59733      0.0901112       0.233349
    212           2.59      0.0899858       0.233474
    213        2.59846      0.0899623       0.233879
    214         2.5871      0.0902602       0.233628
    215        2.57819      0.0902821       0.233704
    216        2.58158      0.0899293       0.233779
    217        2.58179       0.089516       0.233716
    218        2.58392      0.0891316       0.233699
    219        2.58537      0.0887375       0.233727
    220        2.57258      0.0892556       0.233801
    221        2.58082      0.0892334       0.234009
    222        2.58195      0.0888396       0.234215
    223        2.56138      0.0908029       0.234241
    224        2.55471      0.0906439       0.234133
    225         2.5613      0.0904825       0.234115
    226        2.54656      0.0912814       0.234097
    227        2.54094      0.0910536       0.234386
    228        2.54263      0.0906708       0.234236
    229        2.54304      0.0902767       0.233913
    230        2.54575      0.0899259       0.234156
    231        2.54795      0.0895644       0.234224
    232        2.55088      0.0892272       0.234163
