SA_STEP        SA_TEMP      FINAL_AVE          ERROR     ACCEPTANCE
      1              3      -0.142016     0.00498211        0.49116
      2            1.5      -0.141109     0.00531565        0.49137
      3              1        1.46317      0.0287928        0.54214
      4           0.75        1.27039      0.0502785        0.78645
      5            0.6      -0.334312     0.00834573        0.75915
      6            0.5      -0.245916     0.00432432        0.65007
      7       0.428571      -0.170424      0.0160098        0.70798
      8          0.375      0.0280661     0.00635201        0.56373
      9       0.333333      -0.239243      0.0115606        0.67949
     10            0.3       -0.24416     0.00833566        0.67016
     11       0.272727      -0.247698     0.00731907        0.66623
     12           0.25      -0.179144       0.014793        0.70938
     13       0.230769       0.516832       0.056489        0.75553
     14       0.214286       0.426062      0.0443939        0.75302
     15            0.2      0.0456289      0.0266148        0.73297
     16         0.1875     -0.0493675      0.0212546        0.73049
     17       0.176471       0.097284      0.0298478        0.73695
     18       0.166667       0.128884      0.0269371        0.74288
     19       0.157895     -0.0846305      0.0197622        0.72311
     20           0.15      -0.244156     0.00950489        0.67981
     21       0.142857      -0.256849     0.00703643        0.67972
     22       0.136364      -0.258586     0.00618859        0.66509
     23       0.130435      -0.258149     0.00772594        0.67278
     24          0.125      -0.254866     0.00595048        0.66233
     25           0.12      -0.260996     0.00507847        0.65885
     26       0.115385      -0.296636     0.00536216        0.67823
     27       0.111111      -0.267468      0.0112763        0.71263
     28       0.107143      -0.293153     0.00847484        0.71152
     29       0.103448      -0.291404     0.00477536        0.67775
     30            0.1      -0.367987     0.00327383        0.70798
     31      0.0967742      -0.333065     0.00545701        0.70137
     32        0.09375      -0.257718      0.0111049        0.72508
     33      0.0909091      -0.194625       0.012752        0.74528
     34      0.0882353      -0.227097      0.0156872        0.73397
     35      0.0857143      -0.132798      0.0153737        0.75283
     36      0.0833333      -0.283539     0.00901246        0.74672
     37      0.0810811      -0.263026      0.0112767        0.74253
     38      0.0789474      -0.279046      0.0106908        0.74553
     39      0.0769231      -0.335599     0.00656058        0.71533
     40          0.075       -0.32897     0.00624567         0.7184
     41      0.0731707      -0.327407     0.00775426        0.71447
     42      0.0714286      -0.307105     0.00693451        0.69667
     43      0.0697674      -0.298956     0.00576682        0.68933
     44      0.0681818      -0.287549     0.00647379        0.68648
     45      0.0666667      -0.283174       0.005285        0.67206
     46      0.0652174       -0.28518     0.00560968         0.6719
     47      0.0638298      -0.319472     0.00486388        0.69157
     48         0.0625      -0.340002     0.00405373        0.69461
     49      0.0612245      -0.339788     0.00393921        0.69674
     50           0.06       -0.32769     0.00484021        0.69891
     51      0.0588235      -0.324145      0.0069141        0.69979
     52      0.0576923       -0.31265     0.00569107        0.70271
     53      0.0566038      -0.312501     0.00961166        0.71505
     54      0.0555556      -0.333228     0.00765409        0.73194
     55      0.0545455      -0.303264      0.0089341        0.73565
     56      0.0535714      -0.304235     0.00865021        0.74078
     57      0.0526316      -0.322799     0.00895816        0.75383
     58      0.0517241      -0.305739     0.00951895        0.75355
     59      0.0508475      -0.320854     0.00894681        0.74986
     60           0.05      -0.343727     0.00791642        0.74168
     61      0.0491803      -0.290285      0.0101576        0.73719
     62      0.0483871      -0.315261     0.00797094        0.73535
     63       0.047619      -0.252743      0.0109262        0.74803
     64       0.046875      -0.263951      0.0121117        0.74788
     65      0.0461538      -0.271638      0.0101951         0.7375
     66      0.0454545      -0.287655      0.0110626        0.73799
     67      0.0447761        -0.2513      0.0136356        0.74668
     68      0.0441176      -0.290185     0.00950102        0.74632
     69      0.0434783      -0.283353       0.010399        0.74802
     70      0.0428571      -0.303383      0.0089038        0.74637
     71      0.0422535       -0.32862     0.00878637        0.75166
     72      0.0416667      -0.330244     0.00778539        0.74876
