GEN #         BEST_L         L_MEAN          ERROR
1        34.2073        51.5974              0
2        34.2073         44.335        2.95082
3         31.152        38.8073        1.63243
4        29.6543        35.1015        0.89253
5        24.8608        32.7671       0.845903
6        22.1631        30.0111       0.690106
7        19.4779        27.4646        0.76777
8        18.7714        24.0782       0.578748
9        14.4628        21.6347        0.39013
10         12.124        19.3936       0.500238
11        11.0149        15.4526       0.534133
12        9.03074          12.27       0.249171
13        8.28849        10.6727       0.168393
14        7.34826        9.44016       0.228871
15        6.76338        7.73754       0.113517
16        6.76338        7.32951      0.0245551
17        6.76338        7.21189      0.0549963
18        6.26008        6.75559      0.0118744
19        6.02702        6.69147      0.0349757
20        4.99661        6.30318      0.0575599
21        4.26025        5.83518      0.0788284
22        3.98051        4.91303      0.0664595
23        3.93705        4.23782      0.0155815
24        3.84751        4.06279       0.021922
25        3.70594         3.9349     0.00368385
26        3.70594        3.90769     0.00768754
27        3.70395        3.84453     0.00302888
28        3.70395        3.83334     0.00552429
29        3.70395        3.78105     0.00471455
30        3.70395        3.74382     0.00735618
31         3.3915        3.70055     0.00397728
32         3.3915         3.6778     0.00948299
33        3.30971        3.56574      0.0107029
34         3.1281        3.40283     0.00871098
35        2.99623        3.32275      0.0105355
36        2.81298        3.18297      0.0193232
37        2.80271        2.89205      0.0094313
38        2.49402        2.80852     0.00474661
39        2.49402        2.77687      0.0139971
40        2.35512        2.55952      0.0169963
41        2.28793        2.45359     0.00702167
42        2.28772        2.34201     0.00549218
43        2.08163        2.28448     0.00354838
44        2.07371        2.25502      0.0106086
45        2.06327        2.07944    0.000527399
46        2.06327        2.07332     0.00032397
47        2.05535        2.06972    0.000901373
48        2.05434        2.05712    0.000400196
49        2.05434        2.05535    6.56083e-06
50        2.05434        2.05531    0.000124146
51        2.03598        2.05491    0.000403066
52        2.03598        2.05148     0.00107473
53        2.03089         2.0359    8.28883e-05
54        2.03089        2.03527    0.000241017
55        2.02552        2.03088    3.26277e-05
56        2.02552        2.03079    9.62086e-05
57        2.02552        2.03007    0.000257471
58        2.02552        2.02552           -nan
59        2.02552        2.02552           -nan
60        2.02552        2.02552           -nan
61        2.02552        2.02552           -nan
62        2.02552        2.02552           -nan
63        2.02552        2.02552           -nan
64        2.02552        2.02552           -nan
65        2.02552        2.02552           -nan
66        2.02552        2.02552           -nan
67        2.02552        2.02552           -nan
68        2.02552        2.02552           -nan
69        2.02552        2.02552           -nan
70        2.02552        2.02552           -nan
71        2.02552        2.02552           -nan
72        2.02552        2.02552           -nan
73        2.02552        2.02552           -nan
74        2.02552        2.02552           -nan
75        2.02552        2.02552           -nan
76        2.02552        2.02552           -nan
77        2.02552        2.02552           -nan
78        2.02552        2.02552           -nan
79        2.02552        2.02552           -nan
80        1.98328        2.02544    0.000212338
81        1.98328        2.02493    0.000554906
82        1.98328        2.02037      0.0015362
83        1.98328        1.98328    1.86174e-08
84        1.98328        1.98328    1.85049e-08
85        1.98328        1.98328    1.83944e-08
86        1.98328        1.98328    1.82859e-08
87        1.98328        1.98328    1.81792e-08
88        1.98328        1.98328    1.80745e-08
89        1.98328        1.98328    1.79715e-08
90        1.98328        1.98328    1.78702e-08
91        1.98328        1.98328    1.77707e-08
92        1.98328        1.98328    1.76728e-08
93        1.98328        1.98328    1.75765e-08
94        1.98328        1.98328    1.74817e-08
95        1.98328        1.98328    1.73885e-08
96        1.98328        1.98328    1.72967e-08
97        1.98328        1.98328    1.72064e-08
98        1.98328        1.98328    1.71175e-08
99        1.98328        1.98328    1.70299e-08
100        1.98328        1.98328    1.69437e-08
