GEN #         BEST_L         L_MEAN          ERROR
1        26.5659        37.5031              0
2        25.5908         32.238        2.12017
3        19.8145        27.4645        1.17826
4        17.3723        24.1351        1.01818
5        14.8981        20.4032       0.709256
6        14.1525        17.6295       0.422898
7        13.0834        15.7756        0.29548
8        12.9002        14.5675       0.163263
9        11.1805        13.7115       0.178849
10        10.6428        12.7826       0.163431
11        10.4458        11.7568       0.143442
12        9.71284        11.0337      0.0772132
13        9.48858        10.4277      0.0665505
14        8.73464        9.91582      0.0831403
15        8.06159         9.3027      0.0727667
16        7.66575        8.67105      0.0619138
17         7.5066        8.14605      0.0518328
18         7.0157        7.64857      0.0351119
19         7.0157        7.43019      0.0377274
20        6.92119        7.02069     0.00262282
21        6.92119        7.01399     0.00257244
22        6.89103        7.00224     0.00634695
23        6.52553        6.93539      0.0103983
24        6.43296        6.88938      0.0180637
25        6.31449        6.70661      0.0326919
26        5.48907        6.47021      0.0177823
27        5.48907        6.27881      0.0261949
28        5.39649        6.05397      0.0569472
29        5.32948        5.45963     0.00830455
30        5.12091        5.39129     0.00381163
31        5.06138        5.34874     0.00911925
32        4.99553        5.27466      0.0151327
33        4.99553          5.074      0.0066529
34        4.99553        5.01239     0.00451766
35        4.99553        4.99553           -nan
36        4.99553        4.99553           -nan
37        4.99553        4.99553           -nan
38        4.99553        4.99553           -nan
39        4.99553        4.99553           -nan
40        4.90763        4.99535    0.000628803
41        4.90763        4.99535    0.000620894
42        4.90763        4.99369      0.0019423
43        4.90763        4.97762     0.00541221
44        4.86547        4.90726    0.000562972
45        4.86547        4.90468     0.00154295
46        4.84341        4.88221     0.00283983
47        4.84341        4.86384    0.000795084
48        4.84341        4.85067     0.00122709
49        4.84341        4.84341           -nan
50        4.84341        4.84341           -nan
51        4.84341        4.84341           -nan
52        4.84341        4.84341           -nan
53        4.84341        4.84341           -nan
54        4.84341        4.84341           -nan
55        4.84341        4.84341           -nan
56        4.84341        4.84341           -nan
57        4.84341        4.84341           -nan
58        4.84341        4.84341           -nan
59        4.84341        4.84341           -nan
60        4.84341        4.84341           -nan
61        4.84341        4.84341           -nan
62        4.84341        4.84341           -nan
63        4.84341        4.84341           -nan
64        4.84341        4.84341           -nan
65        4.75258        4.84321    0.000508699
66        4.75258        4.84217     0.00123091
67        4.75258        4.83221     0.00346124
68        4.75258        4.75562     0.00184341
69        4.75258        4.75258    5.64535e-08
70        4.75258        4.75258    5.60429e-08
71        4.75258        4.75258    5.56411e-08
72        4.75258        4.75258    5.52479e-08
73        4.75073        4.75257    9.69761e-06
74        4.75073        4.75254    2.86599e-05
75        4.75073        4.75233    7.29356e-05
76        4.75073        4.75101    7.59396e-05
77        4.75073        4.75073           -nan
78        4.75073        4.75073           -nan
79        4.75073        4.75073           -nan
80        4.75073        4.75073           -nan
81        4.75073        4.75073           -nan
82        4.75073        4.75073           -nan
83        4.75073        4.75073           -nan
84        4.75073        4.75073           -nan
85        4.75073        4.75073           -nan
86        4.75073        4.75073           -nan
87        4.75073        4.75073           -nan
88        4.75073        4.75073           -nan
89        4.75073        4.75045    0.000680546
90        4.75073        4.75073           -nan
91        4.75073        4.75073           -nan
92        4.75073        4.75073           -nan
93        4.75073        4.75073           -nan
94        4.75073        4.75073           -nan
95        4.75073        4.75073           -nan
96        4.75073        4.75073           -nan
97        4.75073        4.75073           -nan
98        4.75073        4.75073           -nan
99        4.75073        4.75073           -nan
100        4.75073        4.75073           -nan
