GEN #         BEST_L         L_MEAN
1        4751.78        5015.91
2        4454.47        4764.08
3        4368.95        4523.52
4        4223.37        4397.27
5        4185.45        4299.42
6        4096.23         4200.5
7        4019.47         4129.4
8         3936.2        4042.94
9        3854.51        3972.01
10        3519.05        3873.24
11        3519.05        3694.97
12        3464.83        3539.58
13        3436.32        3498.69
14           3401        3451.42
15        3349.38        3414.67
16        3297.05        3379.69
17        3279.99        3331.29
18         3240.3        3301.68
19        3217.64        3267.71
20        3062.51        3223.53
21        3045.51        3143.99
22        3020.49        3073.37
23        2967.45        3050.39
24        2957.81        3018.66
25        2932.99        2996.46
26        2867.77        2961.41
27        2867.77        2945.58
28        2866.81        2913.78
29        2818.69        2883.79
30        2775.65        2862.16
31        2769.03        2837.75
32         2747.5        2799.56
33        2737.25        2778.68
34        2727.72        2768.27
35        2715.86        2746.84
36        2697.16        2735.81
37        2677.14        2721.38
38        2674.98        2708.04
39        2647.49        2692.31
40        2487.54        2660.78
41        2487.54        2578.86
42        2467.97        2517.06
43        2463.26        2488.41
44        2456.32        2481.46
45        2430.06        2471.89
46        2429.17        2466.82
47        2419.94        2457.26
48        2402.29        2450.52
49        2392.67        2436.88
50        2392.67        2429.54
51        2392.67        2420.88
52        2377.87        2406.14
53        2363.53        2400.47
54        2363.53        2392.95
55        2351.96        2388.39
56         2349.3        2378.78
57        2346.82        2380.92
58        2342.91        2372.85
59        2314.02        2355.48
60        2245.14        2341.69
61        2235.84        2314.34
62        2235.84        2280.29
63        2234.28        2253.62
64         2215.8        2247.07
65        2214.13        2237.51
66        2209.91        2244.65
67         2201.2        2230.27
68         2201.2        2226.08
69        2192.14         2222.7
70        2192.14        2219.53
71        2181.08        2212.94
72        2179.33        2208.94
73        2176.54        2205.08
74        2169.32        2199.55
75        2167.75        2197.38
76        2162.96        2190.56
77        2162.96        2183.04
78         2153.2        2187.38
79        2149.32        2176.92
80        2141.08        2171.86
81        2135.98        2165.96
82        2113.81        2153.91
83        2113.81        2162.08
84        2113.81        2165.68
85        2107.61        2132.01
86        2106.81        2131.11
87        2094.48        2128.29
88        2094.48        2130.45
89        2094.48        2126.88
90        2066.51        2112.38
91        2066.51        2112.54
92        2066.51         2101.4
93        2066.51        2102.59
94        2044.99        2098.12
95        2044.86        2088.37
96        2042.05        2081.71
97        2042.05        2075.07
98        2042.05        2081.23
99        2040.46        2077.44
100        2039.12        2064.63
101        2030.86        2070.96
102        2030.86        2070.31
103        2027.55        2065.04
104        2019.56        2056.01
105        2007.76        2065.71
106        2007.76        2042.43
107        2007.76        2050.55
108        2001.49        2038.39
109        2001.49        2042.58
110         2000.6         2034.7
111        2000.21        2019.51
112        1997.18        2037.04
113        1991.41        2034.48
114        1991.41        2020.56
115        1990.59        2013.05
116        1990.59        2022.75
117        1988.23        2021.09
118        1987.49        2008.99
119        1980.15        2009.17
120        1980.15        2001.23
121        1975.83        1999.53
122        1975.83        2009.56
123        1969.85        2002.07
124        1969.85        1992.14
125        1969.85        1993.96
126        1969.85         1990.3
127        1969.14         1998.6
128        1965.72        1994.29
