GEN #         BEST_L         L_MEAN
1        4480.46        4726.63
2        4199.89        4523.98
3        4175.53        4378.62
4        4106.45        4185.16
5        3972.41        4121.77
6        3952.74         4055.1
7        3905.12        3967.88
8        3811.53         3912.7
9        3794.78        3847.19
10        3668.22        3789.96
11        3643.93        3725.55
12        3588.13        3676.09
13        3490.95        3628.98
14        3401.71        3554.18
15         3376.8        3471.28
16        3351.29        3403.33
17         3316.8        3366.82
18        3253.63        3335.83
19        3205.28        3299.81
20        3195.65         3258.3
21        3116.81           3224
22        3070.31        3196.83
23         3056.6         3133.8
24        2996.84        3083.98
25        2988.99        3069.95
26        2970.65        3036.26
27        2955.53        3002.59
28        2912.87        2970.02
29        2869.95        2946.75
30        2856.38           2917
31        2821.43        2889.11
32        2810.66        2866.82
33        2787.72        2834.68
34        2773.59         2818.6
35        2756.07        2797.95
36        2750.89        2782.79
37        2705.21        2769.14
38        2705.21        2754.03
39        2688.35        2735.54
40        2664.79        2724.27
41        2651.92        2710.73
42        2637.78        2689.69
43        2621.23        2676.84
44        2621.23        2654.19
45        2612.18        2642.35
46        2599.67        2639.46
47        2575.91        2620.51
48        2571.94        2605.44
49        2536.88        2600.81
50         2523.1         2581.7
51        2493.11         2569.4
52        2481.79        2539.18
53        2477.52        2521.25
54        2477.52        2508.62
55        2453.05        2492.35
56        2453.05        2496.24
57        2436.85        2473.43
58        2434.53        2461.86
59        2405.74        2460.91
60        2405.74        2458.91
61        2402.82        2439.23
62        2377.53        2429.15
63        2375.58        2424.45
64        2375.25        2414.55
65        2360.42        2401.06
66        2357.82         2400.4
67        2355.41        2384.96
68        2346.75        2377.81
69        2346.75        2379.29
70        2328.28        2373.76
71        2328.28        2371.94
72        2315.07        2352.41
73         2305.6        2342.09
74        2302.16        2336.19
75        2300.79        2343.69
76        2298.84         2322.4
77        2286.57        2321.53
78        2284.26        2316.63
79        2275.33        2310.24
80        2267.23        2300.45
81        2263.17        2292.09
82           2260        2289.58
83        2259.46        2282.14
84        2251.06        2286.21
85         2249.9        2272.69
86        2249.57         2279.6
87        2241.79        2276.37
88        2241.79         2273.6
89        2225.43        2271.08
90        2221.17        2261.23
91        2221.17         2261.5
92        2194.26        2254.47
93        2188.63        2251.49
94        2188.63        2234.16
95        2187.51        2218.96
96        2180.66        2210.59
97        2180.66        2204.12
98        2158.37        2208.14
99        2158.37        2198.29
100        2158.37        2201.24
101        2150.32         2192.8
102        2150.32           2182
103        2148.42        2188.85
104        2130.09        2176.58
105        2130.09        2174.17
106        2130.09        2165.16
107        2127.41        2159.41
108        2121.47        2159.71
109        2109.25        2151.33
110        2106.42        2147.27
111        2103.43        2129.78
112        2099.31        2130.48
113        2099.31        2125.31
114        2099.31         2126.9
115        2098.31        2135.44
116        2097.51        2122.63
117        2092.25        2117.17
118        2087.28        2123.49
119        2080.75        2117.01
120        2080.75        2107.52
121        2080.75        2115.15
122        2077.69        2108.53
123        2073.58        2104.59
124        2073.58        2102.41
125        2046.61        2099.49
126        2046.61        2090.84
127        2046.47         2089.6
128        2046.47        2086.78
129        2044.95        2072.68
130        2042.62        2061.06
131        2042.62        2062.86
132        2033.89        2067.22
133        2033.89        2053.56
134        2031.89         2061.1
135        2025.22        2061.27
136        2022.34        2053.57
137        2022.34        2050.84
138         2020.8        2055.48
139         2020.8        2051.49
140        2017.42        2043.42
141        2017.42        2043.08
