BLK #        BLK_AVE    CURRENT_AVE          ERROR
1        4751.78           4751              0
2        4700.76           4725        112.477
3        4511.26           4654         90.233
4        4408.96           4592        100.447
5        4328.59           4539        97.7267
6        4266.51           4494        87.6493
7        4079.09           4434        100.376
8        3984.38           4378        102.283
9        3920.79           4327        104.562
10        3565.94           4251         120.16
11        3492.16           4182        128.779
12        3482.48           4123        133.221
13        3386.52           4067        133.359
14         3350.7           4015        135.565
15        3276.06           3966        134.927
16        3258.38           3922        133.294
17        3229.22           3881        132.129
18        3179.05           3842        130.538
19        3137.75           3805        128.813
20        3011.76           3765        128.998
21         3006.9           3729        127.756
22        2973.72           3695        126.095
23         2936.5           3662        124.948
24        2904.61           3630        124.284
25         2881.5           3600        122.985
26        2838.68           3571        121.403
27        2815.86           3543        120.158
28        2810.38           3516        119.619
29        2790.13           3491        118.071
30        2759.71           3467        116.257
31        2744.06           3444        114.516
32        2735.42           3421        113.903
33           2706           3400        111.872
34        2689.96           3379         110.63
35        2678.08           3359         109.25
36        2638.46           3339        108.029
37        2626.73           3319        107.463
38        2613.19           3301         105.75
39        2592.05           3283        104.447
40        2537.23           3264        103.783
41        2536.54           3246        102.966
42         2528.7           3229        101.865
43         2528.7           3213        100.575
44        2515.61           3197        99.6444
45        2475.08           3181        98.6859
46        2468.92           3165        98.1237
47        2466.29           3151        96.5449
48        2447.74           3136         95.884
49        2420.67           3121         95.309
50        2408.97           3107        94.3013
51        2392.25           3093        93.4805
52        2391.05           3079        92.9797
53        2367.64           3066        91.9204
54        2362.85           3053        91.1237
55        2340.53           3040        90.4134
56        2325.48           3027        89.8439
57        2325.48           3015        88.9217
58        2325.48           3003         88.247
59        2303.41           2991        87.6289
60         2291.7           2979        87.1409
61         2291.6           2968        86.2842
62        2271.29           2957        85.4873
63        2271.29           2946        84.8854
64        2265.08           2935        84.4225
65         2246.1           2925        83.4595
66         2246.1           2914        83.2119
67        2223.81           2904        82.4447
68        2223.81           2894        81.8354
69        2223.81           2884        81.3732
70         2221.7           2875          80.52
71         2215.5           2866        79.7715
72        2214.08           2856        79.6542
73        2203.99           2848        78.5942
74        2185.56           2839        78.0639
75        2180.83           2830        77.6251
76        2179.75           2821        77.2897
77        2155.17           2813        76.4552
78        2150.12           2804        76.1858
79        2150.12           2796         75.538
80        2135.15           2787        75.3906
81        2135.15           2779        74.8656
82        2135.15           2772        73.9696
83        2127.22           2764        73.5909
84        2127.22           2756        73.2938
85        2118.23           2749        72.5875
86        2118.21           2741        72.4095
87        2105.73           2734        71.8103
88        2105.73           2727        71.2864
89        2105.73           2720        70.8342
90        2062.43           2713          70.29
91        2062.43           2705         70.245
92        2062.43           2698        69.8341
93        2062.43           2692        69.0639
94        2057.39           2685        68.7626
95        2057.39           2678        68.5188
96        2057.39           2672        67.9166
97        2057.27           2665        67.7828
98         2051.3           2659        67.2725
99        2049.47           2653          66.81
100        2054.43           2647        66.4145
101        2054.43           2641        66.0681
102        2051.24           2635        65.7588
103        2047.13           2630        65.0873
104        2043.21           2624        64.8455
105        2042.94           2618        64.6447
106        2035.94           2613        64.0766
107        2035.94           2607        63.9375
108        2025.65           2602        63.4244
109        2025.65           2597        62.9521
110        2002.82           2591        62.8375
111        2002.82           2586        62.3813
112        2002.82           2581        61.9632
113        1996.04           2576        61.5642
114        1996.04           2571         61.201
115        1988.52           2565        61.2222
116        1983.74           2560        60.8946
117        1983.74           2556         60.235
118        1978.04           2551          59.96
119        1977.61           2546        59.7146
120        1955.74           2541         59.448
121        1955.74           2536         59.211
